Code_Name,Event,Code
Listening ,Student-L,L
Answer Question ,Student-AnQ,AnQ
Asking ,Student-SQ,SQ
Whole Class ,Student-WC,WC
Presentation ,Student-SP,SP
Thinking ,Student-Ind,Ind
Clicker ,Student-CG,CG
Worksheet ,Student-WG,WG
Other Group ,Student-OG,OG
Prediction ,Student-Prd,Prd
Test/Quiz ,Student-T/Q,T/Q
Test/Quiz ,Student-TQ,TQ
Waiting ,Student-W,W
Other ,Student-O,O
Other ,Student-Other,Other
Lecturing ,Instructor-Lec,Lec
Writing ,Instructor-RtW,RtW
Demo/Video ,Instructor-DV,DV
Demo/Video ,Instructor-D/V,D/V
Follow Up ,Instructor-FUp,FUp
Follow Up ,Instructor-Fup,Fup
Pose Question ,Instructor-PQ,PQ
Clicker Question ,Instructor-CQ,CQ
Answer Question ,Instructor-AnQ,AnQ
Moving/Guiding ,Instructor-MG,MG
One on One ,Instructor-1o1,1o1
Administration ,Instructor-Adm,Adm
Waiting ,Instructor-W,W
Other ,Instructor-O,O
Other ,Instructor-Other,Other
Stretch-It,Instructor-_Si,_Si
Stretch-It,Instructor-Si,Si
Other ,Instructor-Other,Other
